wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776757766.317,room_13,1776757766.31,1776757766.315,1776757766.317,6.499,4.16,2.341,room_alerts_mp
1776757766.327,room_13,1776757766.311,1776757766.315,1776757766.327,15.303,4.05,11.257,room_alerts_mp
1776757767.318,room_14,1776757767.312,1776757767.316,1776757767.318,5.718,3.59,2.128,room_alerts_mp
1776757767.318,room_14,1776757767.312,1776757767.316,1776757767.318,5.962,3.76,2.205,room_alerts_mp
1776757767.337,room_14,1776757767.313,1776757767.316,1776757767.337,23.818,3.16,20.661,room_alerts_mp
1776757768.32,room_15,1776757768.315,1776757768.317,1776757768.32,5.014,2.86,2.157,room_alerts_mp
1776757768.322,room_15,1776757768.317,1776757768.319,1776757768.322,5.387,1.74,3.648,room_alerts_mp
1776757768.323,room_15,1776757768.317,1776757768.319,1776757768.323,5.611,1.8,3.815,room_alerts_mp
1776757769.323,room_01,1776757769.316,1776757769.32,1776757769.323,7.662,4.59,3.072,room_alerts_mp
1776757769.325,room_01,1776757769.319,1776757769.322,1776757769.325,6.215,3.44,2.773,room_alerts_mp
1776757769.661,room_01,1776757769.318,1776757769.322,1776757769.661,343.162,3.92,339.242,room_alerts_mp
1776757770.32,room_02,1776757770.317,1776757770.318,1776757770.32,3.063,1.51,1.556,room_alerts_mp
1776757770.323,room_02,1776757770.319,1776757770.321,1776757770.323,3.159,1.37,1.792,room_alerts_mp
1776757770.824,room_02,1776757770.32,1776757770.322,1776757770.824,504.548,2.02,502.526,room_alerts_mp
1776757771.325,room_03,1776757771.322,1776757771.323,1776757771.325,3.413,1.89,1.521,room_alerts_mp
1776757771.326,room_03,1776757771.318,1776757771.322,1776757771.326,8.285,4.07,4.216,room_alerts_mp
1776757771.327,room_03,1776757771.323,1776757771.325,1776757771.327,4.765,2.36,2.403,room_alerts_mp
1776757772.326,room_04,1776757772.32,1776757772.325,1776757772.326,6.477,4.77,1.707,room_alerts_mp
1776757772.327,room_04,1776757772.324,1776757772.326,1776757772.327,3.067,1.47,1.594,room_alerts_mp
1776757772.329,room_04,1776757772.325,1776757772.326,1776757772.329,3.65,1.48,2.175,room_alerts_mp
1776757773.334,room_05,1776757773.325,1776757773.332,1776757773.334,8.434,6.63,1.805,room_alerts_mp
1776757773.335,room_05,1776757773.33,1776757773.333,1776757773.335,5.637,3.32,2.317,room_alerts_mp
1776757773.841,room_05,1776757773.325,1776757773.332,1776757773.841,516.201,7.03,509.171,room_alerts_mp
1776757774.331,room_06,1776757774.327,1776757774.329,1776757774.331,4.058,1.77,2.286,room_alerts_mp
1776757774.333,room_06,1776757774.327,1776757774.33,1776757774.333,6.083,3.44,2.639,room_alerts_mp
1776757774.334,room_06,1776757774.33,1776757774.333,1776757774.334,3.389,2.07,1.316,room_alerts_mp
1776757775.333,room_07,1776757775.329,1776757775.331,1776757775.333,3.4,1.42,1.983,room_alerts_mp
1776757775.339,room_07,1776757775.329,1776757775.331,1776757775.339,9.413,1.64,7.775,room_alerts_mp
1776757775.34,room_07,1776757775.332,1776757775.333,1776757775.34,8.113,1.47,6.643,room_alerts_mp
1776757776.342,room_08,1776757776.334,1776757776.341,1776757776.342,7.593,6.19,1.4,room_alerts_mp
1776757776.849,room_08,1776757776.334,1776757776.34,1776757776.849,515.292,6.69,508.599,room_alerts_mp
1776757776.85,room_08,1776757776.336,1776757776.341,1776757776.85,514.095,4.97,509.128,room_alerts_mp
1776757777.345,room_09,1776757777.341,1776757777.343,1776757777.345,4.79,2.74,2.048,room_alerts_mp
1776757777.347,room_09,1776757777.342,1776757777.344,1776757777.347,4.958,2.0,2.96,room_alerts_mp
1776757777.347,room_09,1776757777.342,1776757777.344,1776757777.347,5.142,1.96,3.178,room_alerts_mp
1776757778.351,room_10,1776757778.346,1776757778.349,1776757778.351,4.531,2.98,1.553,room_alerts_mp
1776757778.353,room_10,1776757778.346,1776757778.349,1776757778.353,7.258,3.71,3.547,room_alerts_mp
1776757778.353,room_10,1776757778.347,1776757778.35,1776757778.353,5.658,2.83,2.827,room_alerts_mp
1776757779.359,room_11,1776757779.348,1776757779.356,1776757779.359,10.781,8.02,2.758,room_alerts_mp
1776757779.36,room_11,1776757779.352,1776757779.358,1776757779.36,7.936,6.36,1.573,room_alerts_mp
1776757779.667,room_11,1776757779.349,1776757779.358,1776757779.667,318.085,9.55,308.538,room_alerts_mp
1776757780.353,room_12,1776757780.35,1776757780.352,1776757780.353,3.515,2.09,1.428,room_alerts_mp
1776757780.355,room_12,1776757780.35,1776757780.353,1776757780.355,4.578,2.47,2.106,room_alerts_mp
1776757780.358,room_12,1776757780.353,1776757780.356,1776757780.358,4.097,2.33,1.767,room_alerts_mp
1776757781.355,room_13,1776757781.35,1776757781.352,1776757781.355,4.073,1.69,2.383,room_alerts_mp
1776757781.359,room_13,1776757781.35,1776757781.352,1776757781.359,8.255,1.57,6.689,room_alerts_mp
1776757781.359,room_13,1776757781.355,1776757781.356,1776757781.359,4.388,1.66,2.731,room_alerts_mp
1776757782.356,room_14,1776757782.352,1776757782.354,1776757782.356,4.198,2.19,2.005,room_alerts_mp
1776757782.357,room_14,1776757782.352,1776757782.354,1776757782.357,4.5,1.74,2.755,room_alerts_mp
1776757782.359,room_14,1776757782.355,1776757782.357,1776757782.359,3.577,1.67,1.903,room_alerts_mp
