wall_time,room_id,e2e_send_ts,e2e_sink_arrival_ts,e2e_latency_ms,topic
1776757733.878,room_06,1776757733.876,1776757733.878,1.668,room_temperature_mp
1776757733.885,room_06,1776757733.883,1776757733.885,2.222,room_temperature_mp
1776757733.978,room_07,1776757733.976,1776757733.978,2.156,room_temperature_mp
1776757733.98,room_07,1776757733.978,1776757733.98,1.934,room_temperature_mp
1776757733.987,room_07,1776757733.984,1776757733.987,3.73,room_temperature_mp
1776757734.082,room_08,1776757734.078,1776757734.082,4.286,room_temperature_mp
1776757734.082,room_08,1776757734.079,1776757734.082,3.696,room_temperature_mp
1776757734.087,room_08,1776757734.085,1776757734.087,2.588,room_temperature_mp
1776757734.183,room_09,1776757734.18,1776757734.183,3.101,room_temperature_mp
1776757734.184,room_09,1776757734.18,1776757734.184,4.864,room_temperature_mp
1776757734.188,room_09,1776757734.186,1776757734.188,1.921,room_temperature_mp
1776757734.283,room_10,1776757734.281,1776757734.283,2.476,room_temperature_mp
1776757734.283,room_10,1776757734.281,1776757734.283,2.641,room_temperature_mp
1776757734.289,room_10,1776757734.287,1776757734.289,2.148,room_temperature_mp
1776757734.386,room_11,1776757734.384,1776757734.386,2.039,room_temperature_mp
1776757734.386,room_11,1776757734.384,1776757734.386,2.52,room_temperature_mp
1776757734.39,room_11,1776757734.388,1776757734.39,2.081,room_temperature_mp
1776757734.488,room_12,1776757734.485,1776757734.488,2.953,room_temperature_mp
1776757734.488,room_12,1776757734.486,1776757734.488,2.692,room_temperature_mp
1776757734.491,room_12,1776757734.489,1776757734.491,2.278,room_temperature_mp
1776757734.589,room_13,1776757734.586,1776757734.589,2.751,room_temperature_mp
1776757734.589,room_13,1776757734.587,1776757734.589,2.22,room_temperature_mp
1776757734.592,room_13,1776757734.59,1776757734.592,1.927,room_temperature_mp
1776757734.689,room_14,1776757734.687,1776757734.689,2.328,room_temperature_mp
1776757734.691,room_14,1776757734.688,1776757734.691,2.56,room_temperature_mp
1776757734.693,room_14,1776757734.691,1776757734.693,2.141,room_temperature_mp
1776757734.791,room_15,1776757734.788,1776757734.791,2.888,room_temperature_mp
1776757734.791,room_15,1776757734.789,1776757734.791,2.247,room_temperature_mp
1776757734.794,room_15,1776757734.792,1776757734.794,2.012,room_temperature_mp
1776757734.891,room_01,1776757734.889,1776757734.891,2.122,room_temperature_mp
1776757734.892,room_01,1776757734.89,1776757734.892,2.206,room_temperature_mp
1776757734.895,room_01,1776757734.893,1776757734.895,2.055,room_temperature_mp
1776757734.993,room_02,1776757734.991,1776757734.993,2.178,room_temperature_mp
1776757734.993,room_02,1776757734.991,1776757734.993,2.601,room_temperature_mp
1776757734.996,room_02,1776757734.994,1776757734.996,2.021,room_temperature_mp
1776757735.095,room_03,1776757735.092,1776757735.095,3.043,room_temperature_mp
1776757735.095,room_03,1776757735.092,1776757735.095,3.155,room_temperature_mp
1776757735.097,room_03,1776757735.095,1776757735.097,2.029,room_temperature_mp
1776757735.196,room_04,1776757735.193,1776757735.196,2.677,room_temperature_mp
1776757735.196,room_04,1776757735.193,1776757735.196,3.022,room_temperature_mp
1776757735.198,room_04,1776757735.196,1776757735.198,2.516,room_temperature_mp
1776757735.296,room_05,1776757735.294,1776757735.296,2.377,room_temperature_mp
1776757735.296,room_05,1776757735.294,1776757735.296,2.512,room_temperature_mp
1776757735.298,room_05,1776757735.297,1776757735.298,1.673,room_temperature_mp
1776757735.398,room_06,1776757735.395,1776757735.398,2.752,room_temperature_mp
1776757735.398,room_06,1776757735.395,1776757735.398,2.571,room_temperature_mp
1776757735.4,room_06,1776757735.398,1776757735.4,2.004,room_temperature_mp
1776757735.498,room_07,1776757735.496,1776757735.498,2.491,room_temperature_mp
1776757735.499,room_07,1776757735.496,1776757735.499,2.803,room_temperature_mp
1776757735.501,room_07,1776757735.499,1776757735.501,1.86,room_temperature_mp
1776757735.599,room_08,1776757735.597,1776757735.599,2.502,room_temperature_mp
1776757735.6,room_08,1776757735.597,1776757735.6,2.197,room_temperature_mp
1776757735.601,room_08,1776757735.6,1776757735.601,1.382,room_temperature_mp
1776757735.704,room_09,1776757735.698,1776757735.704,5.651,room_temperature_mp
1776757735.704,room_09,1776757735.698,1776757735.704,6.122,room_temperature_mp
1776757735.705,room_09,1776757735.701,1776757735.705,4.374,room_temperature_mp
1776757735.801,room_10,1776757735.799,1776757735.801,2.632,room_temperature_mp
1776757735.802,room_10,1776757735.799,1776757735.802,2.804,room_temperature_mp
