wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776723002.061,room_15,1776723002.056,1776723002.059,1776723002.061,5.193,3.18,2.012,room_alerts_mp
1776723003.061,room_01,1776723003.057,1776723003.06,1776723003.061,4.337,2.93,1.406,room_alerts_mp
1776723004.065,room_02,1776723004.058,1776723004.063,1776723004.065,6.65,4.66,1.987,room_alerts_mp
1776723005.067,room_03,1776723005.061,1776723005.065,1776723005.067,6.326,3.99,2.335,room_alerts_mp
1776723006.069,room_04,1776723006.062,1776723006.067,1776723006.069,7.119,4.91,2.204,room_alerts_mp
1776723007.085,room_05,1776723007.067,1776723007.074,1776723007.085,17.704,6.44,11.269,room_alerts_mp
1776723008.073,room_06,1776723008.069,1776723008.07,1776723008.073,3.96,1.65,2.309,room_alerts_mp
1776723009.079,room_07,1776723009.074,1776723009.078,1776723009.079,5.163,3.57,1.593,room_alerts_mp
1776723010.087,room_08,1776723010.078,1776723010.084,1776723010.087,8.982,6.88,2.103,room_alerts_mp
1776723011.085,room_09,1776723011.079,1776723011.084,1776723011.085,5.965,4.56,1.4,room_alerts_mp
1776723012.09,room_10,1776723012.084,1776723012.089,1776723012.09,5.712,4.05,1.665,room_alerts_mp
1776723013.089,room_11,1776723013.086,1776723013.087,1776723013.089,3.756,1.4,2.358,room_alerts_mp
1776723014.096,room_12,1776723014.09,1776723014.095,1776723014.096,6.006,4.48,1.528,room_alerts_mp
1776723015.117,room_13,1776723015.094,1776723015.115,1776723015.117,23.69,21.35,2.342,room_alerts_mp
1776723016.105,room_14,1776723016.098,1776723016.103,1776723016.105,6.411,4.42,1.986,room_alerts_mp
1776723017.107,room_15,1776723017.1,1776723017.105,1776723017.107,6.585,4.11,2.471,room_alerts_mp
1776723018.106,room_01,1776723018.102,1776723018.104,1776723018.106,3.68,1.64,2.042,room_alerts_mp
