wall_time,room_id,e2e_send_ts,e2e_sink_arrival_ts,e2e_latency_ms,topic
1776760332.933,room_08,1776760332.93,1776760332.933,2.632,room_temperature_mp
1776760333.043,room_09,1776760333.041,1776760333.043,2.517,room_temperature_mp
1776760333.15,room_10,1776760333.143,1776760333.15,6.172,room_temperature_mp
1776760333.253,room_11,1776760333.246,1776760333.253,6.488,room_temperature_mp
1776760333.356,room_12,1776760333.35,1776760333.356,5.909,room_temperature_mp
1776760333.455,room_13,1776760333.452,1776760333.455,2.711,room_temperature_mp
1776760333.558,room_14,1776760333.554,1776760333.558,4.296,room_temperature_mp
1776760333.661,room_15,1776760333.655,1776760333.661,5.4,room_temperature_mp
1776760333.767,room_01,1776760333.759,1776760333.767,8.793,room_temperature_mp
1776760333.867,room_02,1776760333.86,1776760333.867,7.034,room_temperature_mp
1776760333.968,room_03,1776760333.961,1776760333.968,6.271,room_temperature_mp
1776760334.066,room_04,1776760334.064,1776760334.066,2.82,room_temperature_mp
1776760334.168,room_05,1776760334.166,1776760334.168,2.283,room_temperature_mp
1776760334.275,room_06,1776760334.27,1776760334.275,5.613,room_temperature_mp
1776760334.374,room_07,1776760334.371,1776760334.374,2.474,room_temperature_mp
1776760334.48,room_08,1776760334.474,1776760334.48,6.432,room_temperature_mp
1776760334.584,room_09,1776760334.577,1776760334.584,6.277,room_temperature_mp
1776760334.685,room_10,1776760334.68,1776760334.685,5.15,room_temperature_mp
1776760334.788,room_11,1776760334.785,1776760334.788,3.478,room_temperature_mp
1776760334.892,room_12,1776760334.887,1776760334.892,4.595,room_temperature_mp
1776760335.001,room_13,1776760334.999,1776760335.001,2.688,room_temperature_mp
1776760335.101,room_14,1776760335.099,1776760335.101,2.103,room_temperature_mp
1776760335.206,room_15,1776760335.202,1776760335.206,4.107,room_temperature_mp
1776760335.307,room_01,1776760335.303,1776760335.307,3.669,room_temperature_mp
1776760335.407,room_02,1776760335.404,1776760335.407,2.728,room_temperature_mp
1776760335.508,room_03,1776760335.505,1776760335.508,2.486,room_temperature_mp
1776760335.61,room_04,1776760335.608,1776760335.61,2.136,room_temperature_mp
1776760335.712,room_05,1776760335.71,1776760335.712,1.979,room_temperature_mp
1776760335.813,room_06,1776760335.81,1776760335.813,2.204,room_temperature_mp
1776760335.914,room_07,1776760335.911,1776760335.914,2.258,room_temperature_mp
1776760336.015,room_08,1776760336.012,1776760336.015,2.443,room_temperature_mp
1776760336.117,room_09,1776760336.113,1776760336.117,4.372,room_temperature_mp
1776760336.217,room_10,1776760336.214,1776760336.217,2.392,room_temperature_mp
1776760336.318,room_11,1776760336.316,1776760336.318,2.812,room_temperature_mp
1776760336.425,room_12,1776760336.417,1776760336.425,8.018,room_temperature_mp
1776760336.524,room_13,1776760336.518,1776760336.524,5.202,room_temperature_mp
1776760336.623,room_14,1776760336.62,1776760336.623,3.929,room_temperature_mp
1776760336.727,room_15,1776760336.72,1776760336.727,6.997,room_temperature_mp
1776760336.828,room_01,1776760336.822,1776760336.828,6.26,room_temperature_mp
1776760336.925,room_02,1776760336.922,1776760336.925,2.934,room_temperature_mp
1776760337.026,room_03,1776760337.023,1776760337.026,2.487,room_temperature_mp
1776760337.127,room_04,1776760337.125,1776760337.127,1.718,room_temperature_mp
1776760337.229,room_05,1776760337.227,1776760337.229,2.394,room_temperature_mp
1776760337.332,room_06,1776760337.327,1776760337.332,4.518,room_temperature_mp
1776760337.435,room_07,1776760337.43,1776760337.435,4.503,room_temperature_mp
1776760337.537,room_08,1776760337.532,1776760337.537,5.858,room_temperature_mp
1776760337.638,room_09,1776760337.632,1776760337.638,5.75,room_temperature_mp
1776760337.74,room_10,1776760337.734,1776760337.74,6.629,room_temperature_mp
1776760337.841,room_11,1776760337.836,1776760337.841,4.741,room_temperature_mp
1776760337.939,room_12,1776760337.937,1776760337.939,2.099,room_temperature_mp
1776760338.043,room_13,1776760338.04,1776760338.043,2.325,room_temperature_mp
1776760338.145,room_14,1776760338.143,1776760338.145,1.927,room_temperature_mp
1776760338.247,room_15,1776760338.244,1776760338.247,2.488,room_temperature_mp
1776760338.35,room_01,1776760338.345,1776760338.35,4.425,room_temperature_mp
1776760338.45,room_02,1776760338.447,1776760338.45,3.19,room_temperature_mp
1776760338.554,room_03,1776760338.548,1776760338.554,6.265,room_temperature_mp
1776760338.653,room_04,1776760338.649,1776760338.653,3.788,room_temperature_mp
1776760338.757,room_05,1776760338.751,1776760338.757,5.686,room_temperature_mp
1776760338.855,room_06,1776760338.852,1776760338.855,3.255,room_temperature_mp
1776760338.958,room_07,1776760338.954,1776760338.958,3.881,room_temperature_mp
1776760339.065,room_08,1776760339.056,1776760339.065,9.484,room_temperature_mp
1776760339.163,room_09,1776760339.159,1776760339.163,4.923,room_temperature_mp
1776760339.266,room_10,1776760339.26,1776760339.266,6.265,room_temperature_mp
1776760339.364,room_11,1776760339.362,1776760339.364,2.35,room_temperature_mp
1776760339.465,room_12,1776760339.462,1776760339.465,2.407,room_temperature_mp
1776760339.568,room_13,1776760339.564,1776760339.568,4.831,room_temperature_mp
1776760339.671,room_14,1776760339.665,1776760339.671,5.815,room_temperature_mp
1776760339.772,room_15,1776760339.766,1776760339.772,6.171,room_temperature_mp
1776760339.87,room_01,1776760339.867,1776760339.87,2.512,room_temperature_mp
1776760339.981,room_02,1776760339.976,1776760339.981,5.617,room_temperature_mp
1776760340.087,room_03,1776760340.078,1776760340.087,8.367,room_temperature_mp
1776760340.182,room_04,1776760340.179,1776760340.182,2.872,room_temperature_mp
1776760340.282,room_05,1776760340.28,1776760340.282,2.101,room_temperature_mp
1776760340.389,room_06,1776760340.382,1776760340.389,6.666,room_temperature_mp
