wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776759705.165,room_02,1776759705.158,1776759705.162,1776759705.165,7.067,3.83,3.236,room_alerts_mp
1776759706.162,room_03,1776759706.159,1776759706.16,1776759706.162,3.873,1.92,1.951,room_alerts_mp
1776759707.169,room_04,1776759707.161,1776759707.166,1776759707.169,8.156,5.25,2.91,room_alerts_mp
1776759708.169,room_05,1776759708.162,1776759708.166,1776759708.169,7.322,4.51,2.812,room_alerts_mp
1776759709.167,room_06,1776759709.162,1776759709.165,1776759709.167,4.193,2.34,1.856,room_alerts_mp
1776759710.17,room_07,1776759710.164,1776759710.168,1776759710.17,5.98,4.24,1.743,room_alerts_mp
1776759711.169,room_08,1776759711.165,1776759711.167,1776759711.169,3.691,1.52,2.171,room_alerts_mp
1776759712.174,room_09,1776759712.167,1776759712.172,1776759712.174,7.523,4.9,2.624,room_alerts_mp
1776759713.173,room_10,1776759713.168,1776759713.171,1776759713.173,5.414,3.11,2.302,room_alerts_mp
1776759714.173,room_11,1776759714.169,1776759714.171,1776759714.173,3.156,1.43,1.728,room_alerts_mp
1776759715.182,room_12,1776759715.172,1776759715.18,1776759715.182,10.465,8.6,1.862,room_alerts_mp
1776759716.177,room_13,1776759716.173,1776759716.175,1776759716.177,3.624,1.56,2.068,room_alerts_mp
1776759717.178,room_14,1776759717.175,1776759717.177,1776759717.178,3.437,1.7,1.74,room_alerts_mp
1776759718.18,room_15,1776759718.176,1776759718.178,1776759718.18,3.389,1.48,1.914,room_alerts_mp
1776759719.18,room_01,1776759719.178,1776759719.179,1776759719.18,2.654,1.41,1.239,room_alerts_mp
1776759720.188,room_02,1776759720.182,1776759720.186,1776759720.188,6.407,4.01,2.399,room_alerts_mp
1776759721.189,room_03,1776759721.183,1776759721.187,1776759721.189,5.697,3.21,2.487,room_alerts_mp
1776759722.194,room_04,1776759722.187,1776759722.192,1776759722.194,7.04,5.39,1.653,room_alerts_mp
1776759723.196,room_05,1776759723.19,1776759723.194,1776759723.196,6.244,4.43,1.814,room_alerts_mp
1776759724.197,room_06,1776759724.193,1776759724.195,1776759724.197,3.816,1.55,2.263,room_alerts_mp
