wall_time,room_id,e2e_send_ts,e2e_sink_arrival_ts,e2e_latency_ms,topic
1776759643.35,room_04,1776759643.345,1776759643.35,4.59,room_temperature_mp
1776759643.455,room_05,1776759643.449,1776759643.455,5.311,room_temperature_mp
1776759643.557,room_06,1776759643.551,1776759643.557,6.524,room_temperature_mp
1776759643.656,room_07,1776759643.653,1776759643.656,2.187,room_temperature_mp
1776759643.764,room_08,1776759643.758,1776759643.764,6.118,room_temperature_mp
1776759643.863,room_09,1776759643.86,1776759643.863,2.358,room_temperature_mp
1776759643.967,room_10,1776759643.962,1776759643.967,5.465,room_temperature_mp
1776759644.071,room_11,1776759644.069,1776759644.071,2.107,room_temperature_mp
1776759644.173,room_12,1776759644.171,1776759644.173,2.671,room_temperature_mp
1776759644.277,room_13,1776759644.273,1776759644.277,4.113,room_temperature_mp
1776759644.383,room_14,1776759644.376,1776759644.383,7.015,room_temperature_mp
1776759644.481,room_15,1776759644.478,1776759644.481,3.036,room_temperature_mp
1776759644.582,room_01,1776759644.58,1776759644.582,2.163,room_temperature_mp
1776759644.685,room_02,1776759644.683,1776759644.685,2.493,room_temperature_mp
1776759644.785,room_03,1776759644.783,1776759644.785,2.197,room_temperature_mp
1776759644.885,room_04,1776759644.884,1776759644.885,1.462,room_temperature_mp
1776759644.991,room_05,1776759644.986,1776759644.991,5.32,room_temperature_mp
1776759645.094,room_06,1776759645.088,1776759645.094,5.45,room_temperature_mp
1776759645.192,room_07,1776759645.189,1776759645.192,2.633,room_temperature_mp
1776759645.294,room_08,1776759645.291,1776759645.294,2.859,room_temperature_mp
1776759645.411,room_09,1776759645.407,1776759645.411,3.533,room_temperature_mp
1776759645.512,room_10,1776759645.51,1776759645.512,2.086,room_temperature_mp
1776759645.621,room_11,1776759645.611,1776759645.621,10.464,room_temperature_mp
1776759645.716,room_12,1776759645.714,1776759645.716,2.529,room_temperature_mp
1776759645.818,room_13,1776759645.814,1776759645.818,4.014,room_temperature_mp
1776759645.92,room_14,1776759645.918,1776759645.92,2.097,room_temperature_mp
1776759646.021,room_15,1776759646.019,1776759646.021,2.203,room_temperature_mp
1776759646.13,room_01,1776759646.124,1776759646.13,5.977,room_temperature_mp
1776759646.227,room_02,1776759646.224,1776759646.227,2.374,room_temperature_mp
1776759646.327,room_03,1776759646.325,1776759646.327,2.204,room_temperature_mp
1776759646.428,room_04,1776759646.427,1776759646.428,1.841,room_temperature_mp
1776759646.53,room_05,1776759646.527,1776759646.53,2.418,room_temperature_mp
1776759646.637,room_06,1776759646.632,1776759646.637,4.918,room_temperature_mp
1776759646.735,room_07,1776759646.732,1776759646.735,2.334,room_temperature_mp
1776759646.839,room_08,1776759646.833,1776759646.839,5.497,room_temperature_mp
1776759646.941,room_09,1776759646.935,1776759646.941,5.597,room_temperature_mp
1776759647.039,room_10,1776759647.037,1776759647.039,2.18,room_temperature_mp
1776759647.144,room_11,1776759647.139,1776759647.144,5.155,room_temperature_mp
